Vehicle_ID,Frame_ID,Total_Frames,Global_Time,Local_X,Local_Y,Global_X,Global_Y,v_Length,v_Width,v_Class,v_Vel,v_Acc,Lane_ID,Preceeding,Following,Space_Hdwy,Time_Hdwy,Type
54,337,670,1118848790700,4.5851064,37.31209200000001,6451173.622,1873307.045,16,5.9,2,5.062728,-0.688848,2,30,58,37.030152,2.228088,Follower
54,338,670,1118848790800,4.5899832,37.8183648,6451174.729,1873305.788,16,5.9,2,4.962144,-1.2954,2,30,58,37.011864,2.2738080000000003,Follower
54,339,670,1118848790900,4.59486,38.3048256,6451175.837,1873304.531,16,5.9,2,4.888992,-0.661416,2,30,58,37.011864,2.3073360000000003,Follower
54,340,670,1118848791000,4.6012608,38.7836664,6451176.944,1873303.274,16,5.9,2,4.885944,0.5455920000000001,2,30,58,37.021008,2.310384,Follower
54,341,670,1118848791100,4.6152816,39.26738400000001,6451178.051,1873302.017,16,5.9,2,4.962144,1.4569440000000002,2,30,58,37.01796,2.2738080000000003,Follower
54,342,670,1118848791200,4.6286928000000005,39.76999920000001,6451179.15,1873300.771,16,5.9,2,5.117592,1.514856,2,30,58,37.002720000000004,2.203704,Follower
54,343,670,1118848791300,4.6427136,40.2893784,6451180.257,1873299.514,16,5.9,2,5.282184,1.6520160000000002,2,30,58,36.990528000000005,2.1336,Follower
54,344,670,1118848791400,4.6567344,40.8227784,6451181.415,1873298.201,16,5.9,2,5.4589680000000005,2.054352,2,30,58,37.008816,2.0665440000000004,Follower
54,345,670,1118848791500,4.677156,41.3814768,6451182.614,1873296.813,16,5.9,2,5.638800000000001,1.6520160000000002,2,30,58,37.039296,2.002536,Follower
54,346,670,1118848791600,4.6981872000000005,41.958768,6451183.864,1873295.369,16,5.9,2,5.76072,0.819912,2,30,58,37.097208,1.9629120000000002,Follower
54,347,670,1118848791700,4.7195232,42.54367920000001,6451185.122,1873293.914,16,5.9,2,5.815583999999999,0.16154400000000002,2,30,58,37.167312,1.947672,Follower
54,348,670,1118848791800,4.740554400000001,43.1279808,6451186.371,1873292.47,16,5.9,2,5.824728,-0.070104,2,30,58,37.255704,1.9507200000000002,Follower
54,349,670,1118848791900,4.761280800000001,43.709844000000004,6451187.621,1873291.026,16,5.9,2,5.818632,-0.030480000000000004,2,30,58,37.316664,1.9537680000000002,Follower
54,350,670,1118848792000,4.782312,44.2901832,6451188.87,1873289.582,16,5.9,2,5.824728,0.143256,2,30,58,37.328856,1.9537680000000002,Follower
54,351,670,1118848792100,4.8030384,44.8763136,6451190.12,1873288.138,16,5.9,2,5.815583999999999,-0.22860000000000003,2,30,58,37.319712,1.9568160000000001,Follower
54,352,670,1118848792200,4.8237648,45.46488240000001,6451191.37,1873286.694,16,5.9,2,5.708904,-1.578864,2,30,58,37.32276,1.993392,Follower
54,353,670,1118848792300,4.8563784000000005,46.0391256,6451192.627,1873285.187,16,5.9,2,5.4681120000000005,-3.300984,2,30,58,37.392864,2.084832,Follower
54,354,670,1118848792400,4.878019200000001,46.570392,6451193.75,1873283.875,16,5.9,2,5.15112,-3.41376,2,30,58,37.526976000000005,2.221992,Follower
54,355,670,1118848792500,4.882896,47.055328800000005,6451194.834,1873282.686,16,5.9,2,4.93776,-1.207008,2,30,58,37.694616,2.325624,Follower
54,356,670,1118848792600,4.870704000000001,47.519844000000006,6451195.84,1873281.664,16,5.9,2,4.9895760000000005,2.2981920000000002,2,30,58,37.88359200000001,2.313432,Follower
54,357,670,1118848792700,4.867656,48.02672640000001,6451196.974,1873280.459,16,5.9,2,5.300472,3.41376,2,30,58,38.029896,2.185416,Follower
54,358,670,1118848792800,4.8703992,48.574147200000006,6451198.189,1873279.139,16,5.9,2,5.687568000000001,3.41376,2,30,58,38.136576000000005,2.045208,Follower
54,359,670,1118848792900,4.880457600000001,49.1700312,6451199.561,1873277.616,16,5.9,2,5.9679839999999995,1.8227040000000003,2,30,58,38.194488,1.9507200000000002,Follower
54,360,670,1118848793000,4.8777144,49.7869464,6451200.93,1873276.158,16,5.9,2,6.089904000000001,0.307848,2,30,58,38.231064,1.914144,Follower
54,361,670,1118848793100,4.8749712,50.4014232,6451202.299,1873274.699,16,5.9,2,6.105144000000001,-0.128016,2,30,58,38.270688,1.911096,Follower
54,362,670,1118848793200,4.872228,51.0101088,6451203.668,1873273.241,16,5.9,2,6.096,0,2,30,58,38.322504,1.917192,Follower
