x,y,len,wid,v,a
15.5999688,319.81286304,4.84632,1.79832,7.6187808,0.176784
15.600426,319.88854488,4.84632,1.79832,7.6206096,0.227076
15.6008832,319.96422672,4.84632,1.79832,7.6224384,0.277368
15.6013404,320.03990856,4.84632,1.79832,7.6242672,0.32766
15.6017976,320.1155904,4.84632,1.79832,7.626096,0.377952
15.60170616,320.19130272,4.84632,1.79832,7.6364592,0.4949952
15.60161472,320.26701504,4.84632,1.79832,7.6468224,0.6120384
15.60152328,320.34272736,4.84632,1.79832,7.6571856,0.7290816
15.60143184,320.41843968,4.84632,1.79832,7.6675488,0.8461248
15.6013404,320.494152,4.84632,1.79832,7.677912,0.963168
15.60124896,320.56986432,4.84632,1.79832,7.6882752,1.0802112
15.60115752,320.64557664,4.84632,1.79832,7.6986384,1.1972544
15.60106608,320.72128896,4.84632,1.79832,7.7090016,1.3142976
15.60097464,320.79700128,4.84632,1.79832,7.7193648,1.4313408
15.6008832,320.8727136,4.84632,1.79832,7.729728,1.548384
15.60191952,320.94988896,4.84632,1.79832,7.7516736,1.682496
15.60295584,321.02706432,4.84632,1.79832,7.7736192,1.816608
15.60399216,321.10423968,4.84632,1.79832,7.7955648,1.95072
15.60502848,321.18141504,4.84632,1.79832,7.8175104,2.084832
15.6060648,321.2585904,4.84632,1.79832,7.839456,2.218944
15.60710112,321.33576576,4.84632,1.79832,7.8614016,2.353056
15.60813744,321.41294112,4.84632,1.79832,7.8833472,2.487168
15.60917376,321.49011648,4.84632,1.79832,7.9052928,2.62128
15.61021008,321.56729184,4.84632,1.79832,7.9272384,2.755392
15.6112464,321.6444672,4.84632,1.79832,7.949184,2.889504
15.61481256,321.72505632,4.84632,1.79832,7.9802736,2.9419296
15.61837872,321.80564544,4.84632,1.79832,8.0113632,2.9943552
15.62194488,321.88623456,4.84632,1.79832,8.0424528,3.0467808
15.62551104,321.96682368,4.84632,1.79832,8.0735424,3.0992064
15.6290772,322.0474128,4.84632,1.79832,8.104632,3.151632
15.63264336,322.12800192,4.84632,1.79832,8.1357216,3.2040576
15.63620952,322.20859104,4.84632,1.79832,8.1668112,3.2564832
15.63977568,322.28918016,4.84632,1.79832,8.1979008,3.3089088
15.64334184,322.36976928,4.84632,1.79832,8.2289904,3.3613344
15.646908,322.4503584,4.84632,1.79832,8.26008,3.41376
15.65233344,322.53497088,4.84632,1.79832,8.2914744,3.3631632
15.65775888,322.61958336,4.84632,1.79832,8.3228688,3.3125664
15.66318432,322.70419584,4.84632,1.79832,8.3542632,3.2619696
15.66860976,322.78880832,4.84632,1.79832,8.3856576,3.2113728
15.6740352,322.8734208,4.84632,1.79832,8.417052,3.160776
15.67946064,322.95803328,4.84632,1.79832,8.4484464,3.1101792
15.68488608,323.04264576,4.84632,1.79832,8.4798408,3.0595824
15.69031152,323.12725824,4.84632,1.79832,8.5112352,3.0089856
15.69573696,323.21187072,4.84632,1.79832,8.5426296,2.9583888
15.7011624,323.2964832,4.84632,1.79832,8.574024,2.907792
15.70890432,323.38450944,4.84632,1.79832,8.5956648,2.77368
15.71664624,323.47253568,4.84632,1.79832,8.6173056,2.639568
15.72438816,323.56056192,4.84632,1.79832,8.6389464,2.505456
15.73213008,323.64858816,4.84632,1.79832,8.6605872,2.371344
15.739872,323.7366144,4.84632,1.79832,8.682228,2.237232
15.74761392,323.82464064,4.84632,1.79832,8.7038688,2.10312
15.75535584,323.91266688,4.84632,1.79832,8.7255096,1.969008
15.76309776,324.00069312,4.84632,1.79832,8.7471504,1.834896
