x,y,len,wid,v,a
15.73932336,284.5320192,4.20624,2.22504,7.62,0
15.73938432,284.6082192,4.20624,2.22504,7.62,0
15.73944528,284.6844192,4.20624,2.22504,7.62,0
15.73950624,284.7606192,4.20624,2.22504,7.62,0
15.7395672,284.8368192,4.20624,2.22504,7.62,0
15.73965864,284.9130192,4.20624,2.22504,7.62,0
15.73975008,284.9892192,4.20624,2.22504,7.62,0
15.73984152,285.0654192,4.20624,2.22504,7.62,0
15.73993296,285.1416192,4.20624,2.22504,7.62,0
15.7400244,285.2178192,4.20624,2.22504,7.62,0
15.74011584,285.2940192,4.20624,2.22504,7.62,0
15.74020728,285.3702192,4.20624,2.22504,7.62,0
15.74029872,285.4464192,4.20624,2.22504,7.62,0
15.74039016,285.5226192,4.20624,2.22504,7.62,0
15.7404816,285.5988192,4.20624,2.22504,7.62,0
15.74057304,285.6750192,4.20624,2.22504,7.62,0
15.74066448,285.7512192,4.20624,2.22504,7.62,0
15.74075592,285.8274192,4.20624,2.22504,7.62,0
15.74084736,285.9036192,4.20624,2.22504,7.62,0
15.7409388,285.9798192,4.20624,2.22504,7.62,0
15.74103024,286.0560192,4.20624,2.22504,7.62,0
15.74112168,286.1322192,4.20624,2.22504,7.62,0
15.74121312,286.2084192,4.20624,2.22504,7.62,0
15.74130456,286.2846192,4.20624,2.22504,7.62,0
15.741396,286.3608192,4.20624,2.22504,7.62,0
15.74145696,286.43698872,4.20624,2.22504,7.62,0
15.74151792,286.51315824,4.20624,2.22504,7.62,0
15.74157888,286.58932776,4.20624,2.22504,7.62,0
15.74163984,286.66549728,4.20624,2.22504,7.62,0
15.7417008,286.7416668,4.20624,2.22504,7.62,0
15.74176176,286.81783632,4.20624,2.22504,7.62,0
15.74182272,286.89400584,4.20624,2.22504,7.62,0
15.74188368,286.97017536,4.20624,2.22504,7.62,0
15.74194464,287.04634488,4.20624,2.22504,7.62,0
15.7420056,287.1225144,4.20624,2.22504,7.62,0
15.74209704,287.1987144,4.20624,2.22504,7.62,0
15.74218848,287.2749144,4.20624,2.22504,7.62,0
15.74227992,287.3511144,4.20624,2.22504,7.62,0
15.74237136,287.4273144,4.20624,2.22504,7.62,0
15.7424628,287.5035144,4.20624,2.22504,7.62,0
15.74255424,287.5797144,4.20624,2.22504,7.62,0
15.74264568,287.6559144,4.20624,2.22504,7.62,0
15.74273712,287.7321144,4.20624,2.22504,7.62,0
15.74282856,287.8083144,4.20624,2.22504,7.62,0
15.74292,287.8845144,4.20624,2.22504,7.62,0
15.74301144,287.9607144,4.20624,2.22504,7.62,0
15.74310288,288.0369144,4.20624,2.22504,7.62,0
15.74319432,288.1131144,4.20624,2.22504,7.62,0
15.74328576,288.1893144,4.20624,2.22504,7.62,0
15.7433772,288.2655144,4.20624,2.22504,7.62,0
